attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,categories,latitude,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.Payment Types.mastercard,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,attributes.Payment Types.amex,name,hours.Monday.open,attributes.Waiter Service,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Good For.dinner,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Good For Kids,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Payment Types.cash_only,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Payment Types.discover,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Payment Types.visa,type,attributes.Caters,attributes.Ambience.intimate,attributes.Music.playlist,attributes.Good For.latenight,attributes.Price Range,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.By Appointment Only,attributes.Dietary Restrictions.kosher,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Hair Types Specialized In.perms,attributes.Music.jukebox,attributes.Ambience.upscale
NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Restaurants'],40.4116918,NA,beer_and_wine,NA,NA,FALSE,sRqB6flj3GtTZIZJQxf_oA,NA,NA,NA,NA,NA,Eat'n Park Hospitality Group,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3,NA,PA,NA,NA,NA,NA,FALSE,NA,"285 Waterfront Dr E
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,NA,NA,-79.9123428,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very_loud,NA,casual,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Food', u'Coffee & Tea']",40.407091,TRUE,NA,NA,NA,FALSE,3gmBc0qN_LtGbZAjTtHWZg,NA,NA,NA,NA,NA,Starbucks,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,16,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"270 W Bridge St
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,NA,2,NA,-79.916958,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,9:00,NA,NA,NA,NA,9:00,"[u'Arts & Crafts', u'Shopping', u'Knitting Supplies', u'Hobby Shops']",40.4140637,NA,NA,NA,NA,TRUE,yHTLTr-QN-loO_7XoxS8qg,NA,NA,9:00,NA,NA,Michaels,9:00,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,8,NA,PA,TRUE,22:00,NA,NA,FALSE,NA,"660 Waterfront Dr E
Homestead
Munhall, PA 15120",22:00,NA,NA,NA,NA,NA,NA,9:00,NA,NA,NA,22:00,NA,TRUE,Munhall,NA,NA,NA,3,NA,business,NA,NA,NA,NA,2,NA,-79.9037778,22:00,NA,22:00,22:00,NA,FALSE,10:00,NA,NA,NA,NA,21:00,NA,NA,NA,NA,NA,NA,9:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,NA,0:00,NA,NA,NA,NA,0:00,"[u'Burgers', u'Fast Food', u'Restaurants']",40.413496,FALSE,none,FALSE,NA,TRUE,6ilJq_05xRgek_8qUp36-g,FALSE,NA,0:00,FALSE,NA,Steak 'n Shake,0:00,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,36,NA,PA,TRUE,0:00,FALSE,TRUE,FALSE,TRUE,"650 E  Waterfront Dr
Homestead
Munhall, PA 15120",0:00,NA,NA,FALSE,NA,NA,FALSE,0:00,NA,FALSE,FALSE,0:00,no,TRUE,Munhall,NA,TRUE,NA,2,NA,business,FALSE,FALSE,NA,TRUE,1,NA,-79.9044562,0:00,NA,0:00,0:00,TRUE,FALSE,0:00,NA,NA,NA,FALSE,0:00,TRUE,NA,NA,NA,TRUE,NA,0:00,average,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Department Stores', u'Fashion', u'Shopping']",40.4116978,NA,NA,NA,NA,FALSE,57HN9fGRar_GckBmgHgemA,NA,NA,NA,NA,NA,Filene's Basement,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6,NA,PA,NA,NA,NA,NA,FALSE,NA,"280 Waterfront Dr E
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Homestead,NA,TRUE,NA,4,NA,business,NA,NA,NA,NA,2,NA,-79.9124082,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,TRUE,18:00,NA,NA,NA,NA,18:00,"[u'Bars', u'Nightlife', u'Restaurants']",40.4094884,FALSE,full_bar,FALSE,NA,TRUE,MKyk4F4HSzHF8v-4cYe3Ww,FALSE,NA,NA,FALSE,NA,Sing Sing,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,NA,PA,TRUE,2:00,FALSE,NA,FALSE,FALSE,"171 E Bridge St
Homestead
Homestead, PA 15120",2:00,NA,NA,FALSE,FALSE,NA,TRUE,18:00,NA,FALSE,FALSE,NA,no,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,FALSE,FALSE,NA,TRUE,2,FALSE,-79.9151108,NA,NA,NA,2:00,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,very_loud,no,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,FALSE,FALSE
NA,NA,NA,8:00,NA,NA,NA,NA,8:00,"[u'Automotive', u'Body Shops']",40.40682,NA,NA,NA,NA,NA,0hrB2iwQZ52VZcZWYywXrA,NA,NA,8:00,NA,NA,Joe Dilorio's Auto Body Shop,8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,PA,NA,16:30,NA,NA,NA,NA,"101 E 7th Ave
Homestead
Homestead, PA 15120",16:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:30,NA,TRUE,Homestead,NA,NA,NA,4.5,NA,business,NA,NA,NA,NA,NA,NA,-79.912788,16:30,NA,16:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Shopping', u'Home Services', u'Building Supplies', u'Home & Garden', u'Hardware Stores', u'Nurseries & Gardening']",40.4131349,NA,NA,NA,NA,TRUE,gClSqcwuLsgyZRCzhJc7Dg,NA,NA,NA,NA,NA,Lowe's,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"690 Waterfront Dr E
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,2,NA,-79.90155,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,"[u'Pubs', u'Bars', u'American (New)', u'Nightlife', u'Restaurants']",40.405311,TRUE,full_bar,FALSE,NA,FALSE,1qCuOcks5HRv67OHovAVpg,FALSE,NA,NA,FALSE,NA,Duke's Upper Deck Cafe,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,16,NA,PA,TRUE,NA,TRUE,NA,FALSE,TRUE,"122 W 8th Ave
Homestead
Homestead, PA 15120",NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,Homestead,NA,NA,NA,3.5,NA,business,NA,FALSE,NA,FALSE,2,NA,-79.912595,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,loud,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,NA
FALSE,NA,NA,11:30,NA,NA,NA,FALSE,11:30,"[u'Arts & Entertainment', u'American (Traditional)', u'Arcades', u'Restaurants']",40.4097113,FALSE,full_bar,FALSE,NA,TRUE,sbW8qHJgzEIH42B0S-3New,FALSE,FALSE,11:30,FALSE,NA,Dave & Buster's,11:30,TRUE,FALSE,FALSE,yes_free,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,52,NA,PA,TRUE,2:00,FALSE,FALSE,FALSE,TRUE,"180 E Waterfront Dr
Homestead
Homestead, PA 15120",0:00,NA,NA,FALSE,NA,NA,TRUE,11:30,NA,FALSE,FALSE,0:00,NA,TRUE,Homestead,NA,TRUE,NA,3,NA,business,FALSE,FALSE,NA,TRUE,2,NA,-79.9140822,0:00,NA,0:00,2:00,TRUE,FALSE,11:30,NA,NA,NA,TRUE,0:00,TRUE,NA,NA,NA,NA,NA,11:30,very_loud,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
FALSE,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'Food', u'American (Traditional)', u'Breweries', u'Restaurants']",40.4094884,TRUE,full_bar,FALSE,NA,TRUE,McikHxxEqZ2X0joaRNKlaw,FALSE,NA,11:00,FALSE,NA,Rock Bottom,11:00,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,94,NA,PA,TRUE,2:00,FALSE,FALSE,FALSE,TRUE,"171 E Bridge St
Homestead
Homestead, PA 15120",2:00,NA,NA,FALSE,NA,NA,TRUE,11:00,NA,FALSE,FALSE,2:00,no,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,FALSE,FALSE,NA,FALSE,2,NA,-79.9151108,2:00,NA,2:00,2:00,TRUE,FALSE,11:00,NA,NA,NA,TRUE,0:00,TRUE,NA,NA,NA,NA,NA,11:00,average,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,"[u'Nightlife', u'Comedy Clubs']",40.409092,FALSE,full_bar,FALSE,NA,TRUE,tv8cS4aaA1VDaInYgggb6g,FALSE,NA,NA,NA,NA,Improv Comedy Club,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,34,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"166 E Bridge St
Homestead
Homestead, PA 15120",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,Homestead,NA,TRUE,NA,3,NA,business,NA,FALSE,NA,NA,2,FALSE,-79.914897,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,very_loud,no,NA,NA,TRUE,[u'Homestead'],NA,FALSE,NA,FALSE,FALSE
NA,NA,NA,6:00,NA,NA,NA,NA,6:00,"[u'Videos & Video Game Rental', u'Books, Mags, Music & Video', u'Grocery', u'Shopping', u'Food']",40.411484,NA,NA,NA,NA,TRUE,eT5Ck7Gg1dBJobca9VFovw,NA,NA,6:00,NA,NA,Giant Eagle,6:00,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,22,NA,PA,TRUE,0:00,NA,NA,FALSE,NA,"420 Waterfront Dr E
Homestead
Homestead, PA 15120",0:00,NA,NA,NA,NA,NA,NA,6:00,NA,NA,NA,0:00,NA,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,NA,2,NA,-79.90877,0:00,NA,0:00,0:00,NA,FALSE,6:00,NA,NA,NA,NA,0:00,NA,NA,NA,NA,NA,NA,6:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,10:00,NA,NA,NA,NA,10:00,"[u'Books, Mags, Music & Video', u'Shopping', u'Bookstores']",40.4083798,NA,NA,NA,NA,FALSE,HwwEfnZKLNOUoqfgcwAgcQ,NA,NA,10:00,NA,NA,Barnes & Noble Booksellers,10:00,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,10,NA,PA,TRUE,22:00,NA,NA,FALSE,NA,"100 W Bridge St
Homestead
Homestead, PA 15120",21:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,21:00,NA,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,NA,2,NA,-79.9158762,21:00,NA,21:00,22:00,NA,FALSE,11:00,NA,NA,NA,NA,20:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,TRUE,11:00,NA,NA,NA,NA,11:00,"[u'Bars', u'American (New)', u'Nightlife', u'Restaurants']",40.4070709,TRUE,full_bar,FALSE,NA,TRUE,EoAY1JSVeJriBzId8lUQwQ,FALSE,NA,11:00,FALSE,NA,Bar Louie,11:00,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,46,NA,PA,TRUE,2:00,FALSE,NA,FALSE,TRUE,"244 W Bridge St
Homestead
West Homestead, PA 15120",2:00,NA,NA,FALSE,FALSE,NA,TRUE,11:00,NA,FALSE,FALSE,2:00,free,TRUE,West Homestead,NA,TRUE,NA,2.5,NA,business,FALSE,FALSE,NA,TRUE,2,FALSE,-79.917508,2:00,NA,2:00,2:00,FALSE,FALSE,11:00,NA,FALSE,NA,TRUE,2:00,TRUE,NA,NA,NA,NA,NA,11:00,loud,outdoor,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,FALSE,FALSE
NA,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'Active Life', u'Swimming Pools']",40.395691,NA,NA,NA,NA,NA,uI0LvTXFACid1308KFO5ew,NA,NA,11:00,NA,NA,Sandcastle Water Park,11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,PA,NA,18:00,NA,NA,NA,NA,"1000 Sandcastle Dr
Hays
Homestead, PA 15120",18:00,NA,NA,NA,NA,NA,NA,11:00,NA,NA,NA,18:00,NA,TRUE,Homestead,NA,NA,NA,3,NA,business,NA,NA,NA,NA,NA,NA,-79.9337369,18:00,NA,18:00,18:00,TRUE,NA,11:00,NA,NA,NA,NA,18:00,NA,NA,NA,NA,NA,NA,11:00,NA,NA,NA,NA,NA,[u'Hays'],NA,NA,NA,NA,NA
NA,NA,NA,8:00,NA,NA,NA,NA,8:00,"[u'Mattresses', u'Shopping', u'Home & Garden']",40.4089932,NA,NA,NA,NA,FALSE,Y4CcDDyMoDpK7BbpKawWjw,NA,NA,8:00,NA,NA,American Buyers Discount Mattress Store,8:00,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3,NA,PA,TRUE,17:00,NA,NA,FALSE,NA,"401 E 8th Ave
Homestead
Homestead, PA 15120",17:00,NA,NA,NA,NA,NA,NA,8:00,NA,NA,NA,17:00,NA,TRUE,Homestead,NA,TRUE,NA,5,NA,business,NA,NA,NA,NA,2,NA,-79.9073564,17:00,NA,17:00,17:00,NA,FALSE,12:00,NA,NA,NA,NA,17:00,NA,NA,NA,NA,NA,NA,8:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Hotels & Travel', u'Airport Shuttles', u'Limos', u'Transportation']",40.4027249,NA,NA,NA,NA,NA,RxKrw38oyeYszQ6guY5b1A,NA,NA,NA,NA,NA,First Class Limousine Service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,PA,NA,NA,NA,NA,NA,NA,"207 E 16th Ave Apt 1
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,NA,NA,4.5,NA,business,NA,NA,NA,NA,NA,NA,-79.904308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'Food', u'Food Delivery Services', u'Chinese', u'Restaurants']",40.3867759,FALSE,none,NA,NA,FALSE,TfvWSIAMFZ9zI3y2-K6wOA,NA,NA,11:00,FALSE,NA,The Dragon Chinese Cuisine,11:00,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,4,NA,PA,TRUE,22:30,FALSE,NA,FALSE,TRUE,"3360 Main St
Munhall, PA 15120",22:00,NA,NA,FALSE,NA,NA,FALSE,11:00,NA,NA,TRUE,22:00,no,TRUE,Munhall,NA,TRUE,NA,2.5,NA,business,NA,NA,NA,FALSE,1,NA,-79.9028194,22:00,NA,22:00,22:30,FALSE,FALSE,12:00,NA,NA,NA,FALSE,22:00,NA,NA,NA,NA,NA,NA,11:00,NA,NA,casual,NA,FALSE,[],NA,NA,NA,NA,NA
FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",40.4087041,FALSE,full_bar,FALSE,NA,NA,tU-YtoW339PXJmUGSix_AQ,FALSE,NA,NA,FALSE,NA,T.G.I. Friday's,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,15,NA,PA,TRUE,NA,FALSE,NA,NA,TRUE,"185 Waterfront Dr W
Homestead
Homestead, PA 15120",NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,TRUE,Homestead,NA,NA,NA,2.5,NA,business,TRUE,FALSE,NA,FALSE,2,NA,-79.9175086,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
FALSE,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'American (Traditional)', u'Pizza', u'Gluten-Free', u'Restaurants']",40.410967,FALSE,full_bar,FALSE,NA,TRUE,6p9TlP2I8S4agxYMNFSDjg,FALSE,NA,11:00,FALSE,NA,Uno Pizzeria & Grill,11:00,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,33,NA,PA,TRUE,23:00,FALSE,NA,FALSE,TRUE,"205 East Waterfront Drive
Homestead
Homestead, PA 15120",23:00,NA,NA,FALSE,NA,NA,FALSE,11:00,NA,FALSE,FALSE,23:00,no,TRUE,Homestead,NA,TRUE,NA,3,NA,business,TRUE,FALSE,NA,FALSE,2,NA,-79.9141364,23:00,NA,23:00,0:00,TRUE,FALSE,11:00,NA,NA,NA,TRUE,0:00,TRUE,NA,NA,NA,NA,NA,11:00,average,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Lingerie', u'Shopping', u'Fashion']",40.4071786,NA,NA,NA,NA,FALSE,XhbC5Qj5nBcqcKLPRd8izQ,NA,NA,NA,NA,NA,Victoria's Secret,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"229 W Bridge St
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,NA,NA,2,NA,business,NA,NA,NA,NA,3,NA,-79.9163778,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'Gluten-Free', u'Asian Fusion', u'Chinese', u'Restaurants']",40.4071112,FALSE,full_bar,FALSE,NA,TRUE,JDDeaNfb0JXD1NbznSIC9g,FALSE,NA,11:00,FALSE,NA,P F Chang's China Bistro,11:00,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,64,NA,PA,TRUE,23:00,TRUE,TRUE,FALSE,TRUE,"The Waterfront
148 W Bridge St
Homestead
Homestead, PA 15120",22:00,NA,NA,FALSE,NA,NA,TRUE,11:00,NA,FALSE,FALSE,22:00,no,TRUE,Homestead,NA,TRUE,NA,3,NA,business,FALSE,FALSE,NA,FALSE,2,NA,-79.91615,22:00,NA,22:00,23:00,TRUE,FALSE,11:00,NA,NA,NA,TRUE,22:00,TRUE,NA,NA,NA,NA,NA,11:00,loud,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,10:00,NA,NA,NA,NA,10:00,"[u'Fashion', u'Shopping', u'Shoe Stores']",40.4081509,NA,NA,NA,NA,FALSE,oPX8bpZ3dqviYQuic0Ahqw,NA,NA,10:00,NA,NA,Gordon Shoes,10:00,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,5,NA,PA,TRUE,21:00,NA,NA,FALSE,NA,"112 W Bridge St
Homestead
Homestead, PA 15120",21:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,21:00,NA,TRUE,Homestead,NA,NA,NA,4,NA,business,NA,NA,NA,NA,2,NA,-79.9161483,21:00,NA,21:00,21:00,NA,FALSE,12:00,NA,NA,NA,NA,18:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
FALSE,NA,NA,6:30,NA,NA,NA,NA,6:30,"[u'Soup', u'Sandwiches', u'Salad', u'Restaurants']",40.407152,TRUE,none,FALSE,NA,TRUE,FiXamVMgMf9U0VqFHDZSEA,FALSE,NA,6:30,TRUE,NA,Panera Bread,6:30,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,17,NA,PA,TRUE,22:00,FALSE,NA,FALSE,TRUE,"210 West Bridge Street
Homestead
West Homestead, PA 15120",21:00,NA,NA,FALSE,NA,NA,FALSE,7:00,NA,FALSE,FALSE,21:00,free,TRUE,West Homestead,NA,TRUE,NA,3,NA,business,TRUE,FALSE,NA,FALSE,1,NA,-79.9166162,21:00,NA,21:00,22:00,TRUE,FALSE,8:00,NA,NA,NA,FALSE,20:00,TRUE,NA,NA,NA,NA,NA,6:30,average,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Veterinarians', u'Pets']",40.39726,NA,NA,NA,NA,NA,LG_Dgv7u7P2ASDWU1RAyWQ,NA,NA,NA,NA,NA,Munhall Veterinary Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,PA,NA,NA,NA,NA,NA,NA,"2114 West St
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,NA,NA,4,NA,business,NA,NA,NA,NA,NA,NA,-79.903054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Department Stores', u'Fashion', u'Shopping']",40.4103739,NA,NA,NA,NA,TRUE,ISKLP0qxApATxRlUDob6Cg,NA,NA,NA,NA,NA,Target,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,15,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"360 Waterfront Dr E
Homestead
Homestead, PA 15120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Homestead,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,NA,2,NA,-79.9098881,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
NA,NA,NA,10:00,NA,NA,NA,NA,10:00,"[u""Men's Clothing"", u'Fashion', u'Shopping', u'Formal Wear']",40.40939,NA,NA,NA,NA,NA,DMy5IG-dNrH4ARk96KngEA,NA,NA,10:00,NA,NA,Men's Wearhouse,10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,PA,TRUE,21:00,NA,NA,NA,NA,"324 Amity St.
Homestead
Homestead, PA 15120",21:00,NA,NA,NA,NA,NA,NA,9:30,NA,NA,NA,21:00,NA,TRUE,Homestead,NA,NA,NA,3.5,NA,business,NA,NA,NA,NA,3,NA,-79.91295,21:00,NA,21:00,21:00,NA,NA,11:00,NA,NA,NA,NA,18:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,NA,NA,[u'Homestead'],NA,NA,NA,NA,NA
